        1858  0.0544584      4.76689e-06      1.1547e-05    0.1            1.108    nan            nan                   1
        1860  0.0719742      6.30009e-06      1.52609e-05   0.1            1.108    nan            nan                   1
        1862  0.0637747      5.58236e-06      1.35223e-05   0.1            1.108    nan            nan                   1
        1864  0.0559245      4.89522e-06      1.18578e-05   0.1            1.108    nan            nan                   1
        1866  0.0728021      6.37256e-06      1.54364e-05   0.1            1.108    nan            nan                   1
        1868  0.0719972      6.3021e-06       1.52657e-05   0.1            1.108    nan            nan                   1
        1870  0.0705336      6.17399e-06      1.49554e-05   0.1            1.108    nan            nan                   1
        1872  0.0643646      5.634e-06        1.36474e-05   0.1            1.108    nan            nan                   1
        1874  0.0674541      5.90443e-06      1.43025e-05   0.1            1.108    nan            nan                   1
        1876  0.0724964      6.3458e-06       1.53716e-05   0.1            1.108    nan            nan                   1
        1878  0.0765189      6.6979e-06       1.62245e-05   0.1            1.108    nan            nan                   1
        1880  0.0803359      7.03201e-06      1.70338e-05   0.1            1.108    nan            nan                   1
        1882  0.0823169      7.20541e-06      1.74539e-05   0.1            1.108    nan            nan                   1
        1884  0.0840737      7.35919e-06      1.78264e-05   0.1            1.108    nan            nan                   1
        1886  0.0768676      6.72842e-06      1.62984e-05   0.1            1.108    nan            nan                   1
        1888  0.075827       6.63733e-06      1.60778e-05   0.1            1.108    nan            nan                   1
        1890  0.0825081      7.22215e-06      1.74944e-05   0.1            1.108    nan            nan                   1
        1892  0.0823525      7.20852e-06      1.74614e-05   0.1            1.108    nan            nan                   1
        1894  0.0802221      7.02204e-06      1.70097e-05   0.1            1.108    nan            nan                   1
        1896  0.0805129      7.0475e-06       1.70714e-05   0.1            1.108    nan            nan                   1
        1898  0.0788425      6.90128e-06      1.67172e-05   0.1            1.108    nan            nan                   1
        1900  0.0819905      7.17684e-06      1.73847e-05   0.1            1.108    nan            nan                   1
        1902  0.0842937      7.37845e-06      1.7873e-05    0.1            1.108    nan            nan                   1
        1904  0.0844248      7.38992e-06      1.79008e-05   0.1            1.108    nan            nan                   1
        1906  0.0851218      7.45093e-06      1.80486e-05   0.1            1.108    nan            nan                   1
        1908  0.0852662      7.46357e-06      1.80792e-05   0.1            1.108    nan            nan                   1
        1910  0.0824243      7.21481e-06      1.74766e-05   0.1            1.108    nan            nan                   1
        1912  0.0742427      6.49865e-06      1.57419e-05   0.1            1.108    nan            nan                   1
        1914  0.078457       6.86754e-06      1.66354e-05   0.1            1.108    nan            nan                   1
        1916  0.0797989      6.985e-06        1.692e-05     0.1            1.108    nan            nan                   1
        1918  0.071695       6.27565e-06      1.52017e-05   0.1            1.108    nan            nan                   1
        1920  0.0707743      6.19506e-06      1.50065e-05   0.1            1.108    nan            nan                   1
