,Name,Filter,mwebv_corr,ra,dec,mwebv
22,2005na,CSP-g,0.2502120632505376,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-r,0.17336697345963126,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-i,0.12605031285410506,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-B,0.2720960930273968,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-V0,0.21042469865576585,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-Y,0.07418220657426033,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-H,0.03500466596508822,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-Ydw,0.07300406516909419,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-Jdw,0.05451868945627858,07:01:36.619,+14:07:59.70,0.06681458271368279
22,2005na,CSP-Hdw,0.0350556533819919,07:01:36.619,+14:07:59.70,0.06681458271368279
23,2005w,CSP-u,0.29226569807603076,01:50:45.751,+21:45:35.60,0.061503363681234796
23,2005w,CSP-g,0.23034798456749028,01:50:45.751,+21:45:35.60,0.061503363681234796
23,2005w,CSP-r,0.1595940653362622,01:50:45.751,+21:45:35.60,0.061503363681234796
23,2005w,CSP-i,0.11603441518765933,01:50:45.751,+21:45:35.60,0.061503363681234796
23,2005w,CSP-B,0.250480510789199,01:50:45.751,+21:45:35.60,0.061503363681234796
23,2005w,CSP-V0,0.19370814692574,01:50:45.751,+21:45:35.60,0.061503363681234796
24,2006ax,CSP-u,0.205486452717474,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-g,0.16200805751796676,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-r,0.11222258431484233,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-i,0.08158768642676639,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-B,0.17613340231243235,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-V0,0.13621161955901684,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-Y,0.04801083716906973,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-J,0.03491123373721727,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-H,0.02265452024105663,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-Ydw,0.0472479623029578,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-Jdw,0.035284538455874426,11:24:03.461,-12:17:29.18,0.04323984482390143
24,2006ax,CSP-Hdw,0.022687528899977494,11:24:03.461,-12:17:29.18,0.04323984482390143
25,2006bh,CSP-u,0.10865236085491181,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-g,0.08569516285373457,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-r,0.05934732272076704,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-i,0.04314363851393743,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-B,0.09314663557851688,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-V0,0.0720340860658304,22:40:16.099,-66:29:06.29,0.022862181382705554
